Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
MAG189	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	14.14	0.00	0.00
MAG19	k__Archaea (UID2)	207	149	107	134	15	0	0	0	0	13.08	0.00	0.00
MAG190	k__Archaea (UID2)	207	145	103	36	60	30	8	9	2	69.90	54.32	49.22
MAG191	c__Gammaproteobacteria (UID4443)	356	451	270	194	232	24	1	0	0	50.90	5.67	29.63
MAG192	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG193	c__Deltaproteobacteria (UID3216)	83	247	155	68	171	8	0	0	0	69.37	2.84	75.00
MAG194	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG195	k__Bacteria (UID203)	5449	104	58	46	43	15	0	0	0	68.97	6.58	0.00
MAG196	k__Bacteria (UID1452)	924	161	108	30	130	1	0	0	0	78.69	0.93	0.00
MAG197	k__Archaea (UID2)	207	149	107	137	12	0	0	0	0	6.36	0.00	0.00
MAG198	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG199	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG2	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
MAG20	c__Gammaproteobacteria (UID4444)	263	498	228	143	345	10	0	0	0	76.57	1.74	100.00
MAG200	k__Archaea (UID2)	207	149	107	138	11	0	0	0	0	0.79	0.00	0.00
MAG201	k__Bacteria (UID2495)	2993	147	91	52	95	0	0	0	0	53.85	0.00	0.00
MAG202	k__Archaea (UID2)	207	149	107	126	16	7	0	0	0	8.18	0.50	0.00
MAG203	k__Bacteria (UID3187)	2258	190	119	79	97	13	1	0	0	43.42	1.63	0.00
MAG204	k__Bacteria (UID203)	5449	104	58	3	64	37	0	0	0	94.83	18.97	100.00
MAG205	k__Bacteria (UID1452)	924	151	101	10	127	14	0	0	0	95.71	11.39	57.14
MAG206	k__Bacteria (UID2495)	2993	147	91	28	114	5	0	0	0	87.91	3.85	100.00
MAG207	k__Bacteria (UID203)	5449	103	57	96	7	0	0	0	0	9.65	0.00	0.00
MAG208	s__algicola (UID2846)	47	571	303	93	444	34	0	0	0	79.02	5.45	91.18
MAG209	f__Rhodobacteraceae (UID3340)	84	568	330	264	300	4	0	0	0	54.25	0.86	75.00
MAG21	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG210	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	20.69	0.00	0.00
MAG211	k__Bacteria (UID203)	5449	104	58	80	9	4	8	3	0	36.21	42.24	100.00
MAG212	k__Bacteria (UID2495)	2993	147	91	6	139	2	0	0	0	94.51	2.20	100.00
MAG213	k__Bacteria (UID1452)	924	161	108	76	85	0	0	0	0	54.33	0.00	0.00
MAG214	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	17.24	0.00	0.00
MAG215	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
MAG216	k__Bacteria (UID1452)	924	163	110	87	76	0	0	0	0	56.71	0.00	0.00
MAG217	k__Bacteria (UID3060)	138	338	246	194	136	8	0	0	0	36.18	2.44	87.50
MAG218	k__Bacteria (UID2982)	88	230	148	7	190	30	3	0	0	95.72	17.00	84.62
MAG219	k__Bacteria (UID203)	5449	102	58	7	57	28	8	2	0	87.93	36.00	31.25
MAG22	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	10.34	0.00	0.00
MAG220	f__Rhodobacteraceae (UID3356)	67	617	330	385	217	15	0	0	0	38.79	2.57	13.33
MAG221	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG222	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG223	o__Rhodospirillales (UID3754)	63	336	201	26	286	21	2	1	0	95.85	9.37	66.67
MAG224	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG225	k__Bacteria (UID203)	5449	104	58	52	33	16	3	0	0	69.83	32.76	72.00
MAG226	k__Bacteria (UID203)	5449	103	58	80	23	0	0	0	0	27.76	0.00	0.00
MAG227	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG228	k__Bacteria (UID2495)	2993	147	91	5	123	19	0	0	0	95.60	15.38	100.00
MAG229	k__Bacteria (UID203)	5449	104	58	100	3	1	0	0	0	2.19	1.72	100.00
MAG23	k__Bacteria (UID203)	5449	104	58	81	19	2	2	0	0	27.51	6.90	0.00
MAG230	k__Bacteria (UID203)	5449	104	58	65	37	2	0	0	0	57.76	3.45	100.00
MAG231	k__Archaea (UID2)	207	145	103	34	111	0	0	0	0	76.72	0.00	0.00
MAG232	k__Archaea (UID2)	207	149	107	89	59	1	0	0	0	40.25	0.93	0.00
MAG233	k__Bacteria (UID2569)	434	278	186	93	139	44	2	0	0	69.35	20.99	98.00
MAG234	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG235	p__Proteobacteria (UID3880)	1495	242	151	92	149	1	0	0	0	61.16	0.33	100.00
MAG236	k__Bacteria (UID2495)	2993	147	91	3	134	9	1	0	0	97.74	10.99	75.00
MAG237	f__Rhodobacteraceae (UID3356)	67	615	329	60	545	9	1	0	0	93.67	2.28	83.33
MAG238	s__algicola (UID2846)	47	571	303	39	528	4	0	0	0	91.35	0.55	100.00
MAG239	k__Archaea (UID2)	207	149	107	132	11	6	0	0	0	3.91	0.43	0.00
MAG24	k__Bacteria (UID2569)	434	278	186	51	225	2	0	0	0	79.09	0.63	0.00
MAG240	o__Rickettsiales (UID3809)	83	324	211	252	61	9	2	0	0	20.05	4.98	93.33
MAG241	k__Bacteria (UID203)	5449	103	57	103	0	0	0	0	0	0.00	0.00	0.00
MAG242	p__Euryarchaeota (UID3)	148	188	125	22	165	1	0	0	0	84.00	0.80	100.00
MAG243	k__Bacteria (UID2495)	2993	143	89	61	77	5	0	0	0	56.49	5.62	0.00
MAG244	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG245	k__Bacteria (UID1452)	924	151	101	84	67	0	0	0	0	47.61	0.00	0.00
MAG246	k__Archaea (UID2)	207	145	103	14	121	10	0	0	0	87.86	8.74	90.00
MAG247	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG248	c__Alphaproteobacteria (UID3305)	564	349	230	24	315	9	1	0	0	91.81	4.17	41.67
MAG249	c__Gammaproteobacteria (UID4201)	1164	275	174	171	103	1	0	0	0	41.39	0.57	0.00
MAG25	c__Gammaproteobacteria (UID4443)	356	451	270	432	17	1	1	0	0	1.15	0.62	0.00
MAG250	k__Bacteria (UID1452)	924	151	101	24	127	0	0	0	0	77.39	0.00	0.00
MAG251	k__Archaea (UID2)	207	149	107	139	10	0	0	0	0	0.72	0.00	0.00
MAG252	k__Archaea (UID2)	207	149	107	129	13	7	0	0	0	6.31	0.50	0.00
MAG253	k__Bacteria (UID2569)	434	278	186	19	251	8	0	0	0	91.67	3.76	87.50
MAG254	k__Bacteria (UID203)	5449	102	56	99	3	0	0	0	0	5.36	0.00	0.00
MAG255	k__Bacteria (UID203)	5449	104	58	91	13	0	0	0	0	20.69	0.00	0.00
MAG256	k__Archaea (UID2)	207	149	107	136	13	0	0	0	0	2.90	0.00	0.00
MAG257	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG258	k__Bacteria (UID2982)	88	230	148	4	211	14	1	0	0	97.64	9.12	47.06
MAG259	c__Gammaproteobacteria (UID4444)	263	498	228	51	407	40	0	0	0	90.45	6.72	87.50
MAG26	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG260	k__Archaea (UID2)	207	149	107	38	111	0	0	0	0	76.01	0.00	0.00
MAG261	c__Gammaproteobacteria (UID4443)	356	451	270	112	335	4	0	0	0	69.05	1.23	75.00
MAG262	k__Bacteria (UID1453)	901	171	117	3	134	30	4	0	0	97.44	25.21	95.24
MAG263	c__Alphaproteobacteria (UID3305)	564	349	230	257	89	3	0	0	0	20.94	1.30	33.33
MAG264	k__Bacteria (UID203)	5449	104	58	69	33	2	0	0	0	51.21	3.45	100.00
MAG265	k__Archaea (UID2)	207	149	107	122	27	0	0	0	0	21.03	0.00	0.00
MAG266	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG267	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
MAG268	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG269	k__Bacteria (UID203)	5449	104	58	88	16	0	0	0	0	22.41	0.00	0.00
MAG27	p__Proteobacteria (UID3214)	2231	190	119	125	62	3	0	0	0	27.51	0.95	33.33
MAG270	c__Gammaproteobacteria (UID4443)	356	451	270	33	411	7	0	0	0	95.80	1.79	42.86
MAG271	f__Rhodobacteraceae (UID3356)	67	615	329	599	16	0	0	0	0	0.56	0.00	0.00
MAG272	k__Bacteria (UID203)	5449	104	58	68	36	0	0	0	0	50.31	0.00	0.00
MAG273	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG274	s__algicola (UID2846)	47	571	303	136	428	7	0	0	0	79.98	1.24	28.57
MAG275	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	24.14	0.00	0.00
MAG276	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	18.97	0.00	0.00
MAG277	f__Rhodobacteraceae (UID3356)	67	614	328	66	536	11	1	0	0	89.87	2.70	78.57
MAG278	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG279	k__Bacteria (UID203)	5449	104	58	77	27	0	0	0	0	41.38	0.00	0.00
MAG28	k__Bacteria (UID203)	5449	104	58	89	14	1	0	0	0	20.69	1.72	100.00
MAG280	f__Rhodobacteraceae (UID3360)	56	582	313	62	514	6	0	0	0	88.31	1.01	0.00
MAG281	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG282	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	17.24	0.00	0.00
MAG283	c__Gammaproteobacteria (UID4444)	263	502	230	64	427	11	0	0	0	86.33	3.18	63.64
MAG284	k__Bacteria (UID2569)	434	277	185	93	178	6	0	0	0	63.06	1.44	0.00
MAG285	c__Gammaproteobacteria (UID4443)	356	451	270	73	374	4	0	0	0	89.33	0.74	50.00
MAG286	p__Euryarchaeota (UID3)	148	188	125	28	159	1	0	0	0	79.60	0.80	0.00
MAG287	c__Gammaproteobacteria (UID4443)	356	451	270	131	317	3	0	0	0	65.74	0.93	100.00
MAG288	k__Bacteria (UID203)	5449	104	58	91	12	1	0	0	0	17.24	1.72	100.00
MAG289	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG29	root (UID1)	5656	56	24	53	3	0	0	0	0	12.50	0.00	0.00
MAG290	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG291	k__Bacteria (UID203)	5449	104	58	28	21	52	2	1	0	91.38	79.31	42.19
MAG292	p__Euryarchaeota (UID3)	148	188	125	34	153	1	0	0	0	80.29	0.80	100.00
MAG293	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG294	c__Gammaproteobacteria (UID4443)	356	451	270	100	346	5	0	0	0	77.80	0.80	0.00
MAG295	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	18.10	0.00	0.00
MAG296	k__Bacteria (UID203)	5449	104	58	78	26	0	0	0	0	38.09	0.00	0.00
MAG297	c__Gammaproteobacteria (UID4443)	356	451	270	58	372	21	0	0	0	94.76	6.67	42.86
MAG298	c__Alphaproteobacteria (UID3305)	564	349	230	28	320	1	0	0	0	95.72	0.43	0.00
MAG299	c__Gammaproteobacteria (UID4443)	356	451	270	290	161	0	0	0	0	31.73	0.00	0.00
MAG3	k__Bacteria (UID2565)	2921	152	93	61	70	20	1	0	0	61.80	14.47	8.70
MAG30	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG300	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG301	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG302	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG303	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG304	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG305	k__Bacteria (UID203)	5449	104	58	10	71	22	1	0	0	87.93	12.54	92.00
MAG306	k__Bacteria (UID1453)	901	171	117	81	90	0	0	0	0	52.24	0.00	0.00
MAG307	k__Bacteria (UID203)	5449	104	58	77	27	0	0	0	0	37.07	0.00	0.00
MAG308	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG309	root (UID1)	5656	56	24	45	1	0	0	0	10	6.25	100.35	0.80
MAG31	k__Bacteria (UID2566)	525	208	136	0	208	0	0	0	0	100.00	0.00	0.00
MAG310	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG311	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG312	c__Gammaproteobacteria (UID4443)	356	451	270	19	411	19	2	0	0	94.20	5.00	88.00
MAG313	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG314	k__Bacteria (UID2495)	2993	147	91	21	113	13	0	0	0	84.81	12.64	76.92
MAG315	k__Archaea (UID2)	207	149	107	28	105	15	1	0	0	74.77	13.08	83.33
MAG316	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG317	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG318	k__Archaea (UID2)	207	149	107	129	13	7	0	0	0	6.31	0.50	0.00
MAG319	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG32	root (UID1)	5656	56	24	0	0	0	0	22	34	100.00	558.68	40.87
MAG320	k__Bacteria (UID203)	5449	99	53	0	6	24	37	27	5	100.00	208.02	30.84
MAG321	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG322	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	9.22	0.00	0.00
MAG323	c__Gammaproteobacteria (UID4443)	356	451	270	108	272	51	19	1	0	69.92	19.80	94.74
MAG33	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG34	k__Bacteria (UID203)	5449	103	57	79	13	10	1	0	0	20.41	4.11	23.08
MAG35	k__Bacteria (UID203)	5449	104	58	80	24	0	0	0	0	28.76	0.00	0.00
MAG36	k__Archaea (UID2)	207	149	107	120	29	0	0	0	0	16.51	0.00	0.00
MAG37	c__Alphaproteobacteria (UID3305)	564	349	230	174	138	31	5	1	0	47.88	13.25	7.69
MAG38	k__Bacteria (UID203)	5449	102	56	93	3	6	0	0	0	3.12	0.97	0.00
MAG39	p__Euryarchaeota (UID3)	148	188	125	62	108	18	0	0	0	74.72	12.80	66.67
MAG4	k__Bacteria (UID203)	5449	104	58	21	57	26	0	0	0	68.81	13.71	42.31
MAG40	o__Actinomycetales (UID1593)	69	400	198	46	354	0	0	0	0	87.22	0.00	0.00
MAG41	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG42	p__Proteobacteria (UID3880)	1495	261	164	139	122	0	0	0	0	39.79	0.00	0.00
MAG43	k__Bacteria (UID2495)	2993	147	91	94	53	0	0	0	0	28.57	0.00	0.00
MAG44	k__Bacteria (UID203)	5449	104	58	61	43	0	0	0	0	65.52	0.00	0.00
MAG45	k__Bacteria (UID1452)	924	161	108	85	75	1	0	0	0	40.19	0.93	100.00
MAG46	o__Rhodospirillales (UID3754)	63	336	201	22	287	27	0	0	0	94.83	10.41	51.85
MAG47	k__Bacteria (UID1453)	901	171	117	29	132	7	3	0	0	77.78	8.12	50.00
MAG48	k__Bacteria (UID2565)	2921	144	89	75	69	0	0	0	0	49.24	0.00	0.00
MAG49	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG5	k__Bacteria (UID2566)	525	208	136	16	163	25	4	0	0	90.07	20.04	27.03
MAG50	k__Bacteria (UID203)	5449	104	58	38	13	53	0	0	0	39.66	22.41	100.00
MAG51	k__Bacteria (UID1452)	924	151	101	94	57	0	0	0	0	38.38	0.00	0.00
MAG52	k__Archaea (UID2)	207	145	103	30	88	25	2	0	0	76.70	21.04	87.10
MAG53	k__Bacteria (UID203)	5449	104	58	2	35	55	12	0	0	96.55	56.35	92.31
MAG54	c__Gammaproteobacteria (UID4443)	356	451	270	33	357	61	0	0	0	94.99	13.64	98.36
MAG55	p__Euryarchaeota (UID3)	148	188	125	65	123	0	0	0	0	65.56	0.00	0.00
MAG56	c__Betaproteobacteria (UID3888)	323	376	229	13	172	90	81	15	5	97.16	99.58	98.94
MAG57	k__Bacteria (UID203)	5449	104	58	24	47	32	1	0	0	91.54	31.90	31.43
MAG58	p__Proteobacteria (UID3880)	1495	261	164	176	76	9	0	0	0	31.76	4.88	0.00
MAG59	c__Gammaproteobacteria (UID4444)	263	507	232	49	454	4	0	0	0	87.96	0.65	25.00
MAG6	p__Proteobacteria (UID3880)	1495	242	151	29	184	25	4	0	0	97.40	17.55	94.59
MAG60	c__Gammaproteobacteria (UID4443)	356	451	270	58	386	7	0	0	0	91.20	2.41	100.00
MAG61	k__Bacteria (UID203)	5449	102	56	98	4	0	0	0	0	6.25	0.00	0.00
MAG62	k__Bacteria (UID203)	5449	100	55	2	8	87	3	0	0	96.36	88.02	29.17
MAG63	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG64	k__Bacteria (UID203)	5449	104	58	5	23	66	9	1	0	91.38	75.00	78.79
MAG65	f__Flavobacteriaceae (UID2845)	53	548	298	184	350	14	0	0	0	65.26	2.09	35.71
